		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	LABELS	2007-2011	2008-2011	2009-2011	2010-2011	2011-2011	2012-2012	2012-2013	2012-2014	2012-2015	2012-2023
											
rel_rank_0	rel_rank_0	-0.018	-0.017	-0.021	-0.017	0.036	-0.024	0.000	0.009	0.005	-0.005
		(-0.947)	(-0.896)	(-0.958)	(-0.604)	(0.912)	(-0.705)	(0.001)	(0.441)	(0.301)	(-0.364)
rel_rank_p1	rel_rank_p1	-0.029	-0.028	-0.030	-0.007	0.023	0.045	0.010	-0.013	-0.012	-0.021
		(-1.451)	(-1.380)	(-1.343)	(-0.263)	(0.572)	(1.361)	(0.414)	(-0.637)	(-0.670)	(-1.635)
rel_at	rel_at	-0.007	-0.008	-0.003	-0.005	-0.022	0.019	0.010	0.007	0.010	0.008
		(-0.840)	(-0.922)	(-0.329)	(-0.390)	(-1.431)	(1.224)	(0.870)	(0.769)	(1.269)	(1.357)
rel_mktval	rel_mktval	-0.000	-0.001	-0.003	0.006	-0.020	-0.018	-0.020*	-0.005	-0.004	-0.004
		(-0.038)	(-0.152)	(-0.345)	(0.554)	(-1.240)	(-1.256)	(-1.938)	(-0.645)	(-0.539)	(-0.745)
rel_tobins_q	rel_tobins_q	-0.019	-0.019	-0.024	-0.033	-0.064**	-0.022	-0.009	-0.019	-0.019	-0.008
		(-1.266)	(-1.234)	(-1.465)	(-1.570)	(-2.196)	(-0.905)	(-0.500)	(-1.194)	(-1.411)	(-0.838)
rel_sale	rel_sale	-0.002	0.001	0.002	-0.006	-0.022	0.018	-0.009	-0.004	-0.002	-0.002
		(-0.098)	(0.033)	(0.104)	(-0.273)	(-0.754)	(0.662)	(-0.465)	(-0.210)	(-0.120)	(-0.238)
diff_ind4	diff_ind4	-0.007	-0.006	-0.010	-0.009	0.007	0.020	0.004	0.003	0.002	0.012
		(-0.393)	(-0.329)	(-0.488)	(-0.369)	(0.189)	(0.738)	(0.222)	(0.186)	(0.122)	(1.178)
Constant	Constant	0.200***	0.199***	0.204***	0.201***	0.276***	0.119**	0.161***	0.161***	0.156***	0.153***
		(6.603)	(6.536)	(6.254)	(4.734)	(4.814)	(2.556)	(4.626)	(5.424)	(5.966)	(8.390)
											
Observations		5,757	5,614	4,476	3,005	1,538	1,437	3,087	4,693	6,026	13,562
R-squared		0.733	0.730	0.722	0.706	0.709	0.752	0.717	0.714	0.718	0.751
Firm controls		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
FirmXYear FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
PeerXYear FE		Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes	Yes
# of firms		946	940	865	734	514	481	747	876	945	1175
difference of coeff.		0.0105	0.0101	0.00903	-0.00938	0.0127	-0.0697	-0.00988	0.0220	0.0175	0.0164
p-val of difference		0.339	0.376	0.377	0.833	0.659	0.103	0.902	0.598	0.640	0.237
